Entry,Entry name,Status,Protein names,Gene names,Organism,Length,EC number
Q9ZF99,MDH_AQUAR,reviewed,Malate dehydrogenase (EC 1.1.1.37),mdh,Aquaspirillum arcticum,329,1.1.1.37
P29476,NOS1_RAT,reviewed,"Nitric oxide synthase, brain (EC 1.14.13.39) (BNOS) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1)",Nos1 Bnos,Rattus norvegicus (Rat),1429,1.14.13.39
P08659,LUCI_PHOPY,reviewed,Luciferin 4-monooxygenase (Luciferase) (EC 1.13.12.7),,Photinus pyralis (Common eastern firefly) (Lampyris pyralis),550,1.13.12.7
P0ABD3,BFR_ECOLI,reviewed,Bacterioferritin (BFR) (EC 1.16.3.1) (Cytochrome b-1) (Cytochrome b-557),bfr b3336 JW3298,Escherichia coli (strain K12),158,1.16.3.1
P10584,MDH_THETH,reviewed,Malate dehydrogenase (EC 1.1.1.37),mdh,Thermus thermophilus,327,1.1.1.37
P00125,CY1_BOVIN,reviewed,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",CYC1,Bos taurus (Bovine),325,7.1.1.8
P00126,QCR6_BOVIN,reviewed,"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)",UQCRH,Bos taurus (Bovine),91,
P00129,QCR7_BOVIN,reviewed,Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein),UQCRB,Bos taurus (Bovine),111,
P00130,QCR9_BOVIN,reviewed,Cytochrome b-c1 complex subunit 9 (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7 kDa protein) (Ubiquinol-cytochrome c reductase complex 7.2 kDa protein),UQCR10,Bos taurus (Bovine),64,
P00157,CYB_BOVIN,reviewed,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),MT-CYB COB CYTB MTCYB,Bos taurus (Bovine),379,
P07552,QCR10_BOVIN,reviewed,Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein),UQCR11 UQCR,Bos taurus (Bovine),56,
P13271,QCR8_BOVIN,reviewed,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),UQCRQ,Bos taurus (Bovine),82,
P13272,UCRI_BOVIN,reviewed,"Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (UQCRFS1 mitochondrial targeting sequence) (UQCRFS1 MTS) (Ubiquinol-cytochrome c reductase 8 kDa protein)]",UQCRFS1,Bos taurus (Bovine),274,7.1.1.8
P23004,QCR2_BOVIN,reviewed,"Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)",UQCRC2,Bos taurus (Bovine),453,
P31800,QCR1_BOVIN,reviewed,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)",UQCRC1,Bos taurus (Bovine),480,
P00438,PHHY_PSEFL,reviewed,p-hydroxybenzoate hydroxylase (PHBH) (PHBHase) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase),pobA,Pseudomonas fluorescens,394,1.14.13.2
P00268,RUBR_CLOPA,reviewed,Rubredoxin (Rd),,Clostridium pasteurianum,54,
Q40069,Q40069_HORVU,unreviewed,Peroxidase (EC 1.11.1.7),Prx5,Hordeum vulgare (Barley),359,1.11.1.7
Q63639,AL1A2_RAT,reviewed,Retinal dehydrogenase 2 (RALDH 2) (RalDH2) (EC 1.2.1.36) (Aldehyde dehydrogenase family 1 member A2) (Retinaldehyde-specific dehydrogenase type 2) (RALDH(II)),Aldh1a2 Raldh2,Rattus norvegicus (Rat),518,1.2.1.36
P05326,IPNS_EMENI,reviewed,Isopenicillin N synthase (IPNS) (EC 1.21.3.1),ipnA ips AN2622,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),331,1.21.3.1
Q56691,FRP_VIBHA,reviewed,NADPH-flavin oxidoreductase (EC 1.5.1.38) (Flavin reductase P) (NADPH-FMN oxidoreductase),frp,Vibrio harveyi (Beneckea harveyi),240,1.5.1.38
P24474,NIRS_PSEAE,reviewed,Nitrite reductase (EC 1.7.2.1) (Cytochrome cd1) (Cytochrome oxidase) (Hydroxylamine reductase) (EC 1.7.99.1),nirS PA0519,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),568,1.7.2.1; 1.7.99.1
P00374,DYR_HUMAN,reviewed,Dihydrofolate reductase (EC 1.5.1.3),DHFR,Homo sapiens (Human),187,1.5.1.3
P07739,LUXB_VIBHA,reviewed,Alkanal monooxygenase beta chain (EC 1.14.14.3) (Bacterial luciferase beta chain),luxB,Vibrio harveyi (Beneckea harveyi),324,1.14.14.3
P07740,LUXA_VIBHA,reviewed,Alkanal monooxygenase alpha chain (EC 1.14.14.3) (Bacterial luciferase alpha chain),luxA,Vibrio harveyi (Beneckea harveyi),355,1.14.14.3
P0A9Q9,DHAS_ECOLI,reviewed,Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase),asd hom b3433 JW3396,Escherichia coli (strain K12),367,1.2.1.11
P29715,BPOA2_KITAU,reviewed,Non-haem bromoperoxidase BPO-A2 (EC 1.11.1.-) (BPO2) (Bromide peroxidase),bpoA2,Kitasatospora aureofaciens (Streptomyces aureofaciens),278,1.11.1.-
P32055,FCL_ECOLI,reviewed,"GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)",fcl wcaG yefB b2052 JW2037,Escherichia coli (strain K12),321,1.1.1.271
Q9ZP19,PPO1_IPOBA,reviewed,"Polyphenol oxidase I, chloroplastic (PPO-I) (EC 1.10.3.1) (Catechol oxidase I)",co-1,Ipomoea batatas (Sweet potato) (Convolvulus batatas),496,1.10.3.1
P14779,CPXB_BACMB,reviewed,Bifunctional cytochrome P450/NADPH--P450 reductase (Cytochrome P450(BM-3)) (Cytochrome P450BM-3) (Fatty acid monooxygenase) (Flavocytochrome P450 BM3) [Includes: Cytochrome P450 102A1 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)],cyp102A1 cyp102 BG04_163,Bacillus megaterium (strain ATCC 14581 / DSM 32 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / VKM B-512),1049,1.14.14.1; 1.6.2.4
Q06319,ACDS_MEGEL,reviewed,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1) (Butyryl-CoA dehydrogenase) (BCAD) (SCAD)",,Megasphaera elsdenii,383,1.3.8.1
P9WGR1,INHA_MYCTU,reviewed,Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (Enoyl-ACP reductase) (EC 1.3.1.9) (FAS-II enoyl-ACP reductase) (NADH-dependent 2-trans-enoyl-ACP reductase),inhA Rv1484 MTCY277.05,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),269,1.3.1.9
Q56304,DHE3_THELN,reviewed,Glutamate dehydrogenase (GDH) (EC 1.4.1.3),gdhA OCC_00135,Thermococcus litoralis (strain ATCC 51850 / DSM 5473 / JCM 8560 / NS-C),419,1.4.1.3
Q59771,DHPH_RHOSO,reviewed,Phenylalanine dehydrogenase (PheDH) (EC 1.4.1.20),pdh,Rhodococcus sp.,356,1.4.1.20
Q02899,OYE1_SACPS,reviewed,NADPH dehydrogenase 1 (EC 1.6.99.1) (Old yellow enzyme 1),OYE1,Saccharomyces pastorianus (Lager yeast) (Saccharomyces cerevisiae x Saccharomyces eubayanus),400,1.6.99.1
P00455,FENR_SPIOL,reviewed,"Ferredoxin--NADP reductase, chloroplastic (FNR) (EC 1.18.1.2)",PETH,Spinacia oleracea (Spinach),369,1.18.1.2
P51977,AL1A1_SHEEP,reviewed,"Retinal dehydrogenase 1 (RALDH 1) (RalDH1) (EC 1.2.1.-) (EC 1.2.1.36) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic)",ALDH1A1 ALDH1,Ovis aries (Sheep),501,1.2.1.-; 1.2.1.36
P14941,ADH_THEBR,reviewed,NADP-dependent isopropanol dehydrogenase (EC 1.1.1.80),adh,Thermoanaerobacter brockii (Thermoanaerobium brockii),352,1.1.1.80
P00446,SODC_PHOLE,reviewed,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1),sodC,Photobacterium leiognathi,173,1.15.1.1
P80324,OXDA_RHOTO,reviewed,D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3),DAO1,Rhodosporidium toruloides (Yeast) (Rhodotorula gracilis),368,1.4.3.3
P0AEK4,FABI_ECOLI,reviewed,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase),fabI envM b1288 JW1281,Escherichia coli (strain K12),262,1.3.1.9
P9WP23,DAPB_MYCTU,reviewed,4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8),dapB Rv2773c MTV002.38c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),245,1.17.1.8
P29166,PHF1_CLOPA,reviewed,Iron hydrogenase 1 (EC 1.12.7.2) (CpI) (Fe-only hydrogenase) ([Fe] hydrogenase),,Clostridium pasteurianum,574,1.12.7.2
P13650,DHGB_ACICA,reviewed,Quinoprotein glucose dehydrogenase B (EC 1.1.5.2) (Glucose dehydrogenase B [pyrroloquinoline-quinone]) (Soluble glucose dehydrogenase) (s-GDH),gdhB,Acinetobacter calcoaceticus,478,1.1.5.2
O08782,ALD2_CRIGR,reviewed,Aldose reductase-related protein 2 (AR) (EC 1.1.1.21) (Aldehyde reductase) (Aldo-keto reductase),AKR1B8,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),316,1.1.1.21
P00442,SODC_BOVIN,reviewed,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1),SOD1,Bos taurus (Bovine),152,1.15.1.1
P13063,PHSS_DESBA,reviewed,Periplasmic [NiFeSe] hydrogenase small subunit (EC 1.12.99.6) (NiFeSe hydrogenlyase small chain),,Desulfomicrobium baculatum (Desulfovibrio baculatus),315,1.12.99.6
P13065,PHSL_DESBA,reviewed,Periplasmic [NiFeSe] hydrogenase large subunit (EC 1.12.99.6) (NiFeSe hydrogenlyase large chain),,Desulfomicrobium baculatum (Desulfovibrio baculatus),514,1.12.99.6
P16184,DYR_PNECA,reviewed,Dihydrofolate reductase (EC 1.5.1.3),,Pneumocystis carinii,206,1.5.1.3
P26325,ADH1_GADMC,reviewed,Alcohol dehydrogenase 1 (EC 1.1.1.1),,Gadus morhua subsp. callarias (Baltic cod) (Gadus callarias),375,1.1.1.1
Q27743,LDH_PLAFD,reviewed,L-lactate dehydrogenase (EC 1.1.1.27) (LDH-P),,Plasmodium falciparum (isolate CDC / Honduras),316,1.1.1.27
P00361,G3P_THEAQ,reviewed,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase),gap,Thermus aquaticus,331,1.2.1.12
P10618,G3P_METFE,reviewed,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.59) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase),gap,Methanothermus fervidus,337,1.2.1.59
P13006,GOX_ASPNG,reviewed,Glucose oxidase (EC 1.1.3.4) (Beta-D-glucose:oxygen 1-oxido-reductase) (Glucose oxyhydrase) (GOD),gox,Aspergillus niger,605,1.1.3.4
P21179,CATE_ECOLI,reviewed,Catalase HPII (EC 1.11.1.6) (Hydroxyperoxidase II),katE b1732 JW1721,Escherichia coli (strain K12),753,1.11.1.6
P10902,NADB_ECOLI,reviewed,L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B),nadB nicB b2574 JW2558,Escherichia coli (strain K12),540,1.4.3.16
P38075,PDX3_YEAST,reviewed,Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx),PDX3 YBR035C YBR0321,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),228,1.4.3.5
P46489,MDHP_FLABI,reviewed,"Malate dehydrogenase [NADP], chloroplastic (EC 1.1.1.82) (NADP-MDH)",,Flaveria bidentis (Coastal plain yellowtops) (Ethulia bidentis),453,1.1.1.82
P08165,ADRO_BOVIN,reviewed,"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)",FDXR ADXR,Bos taurus (Bovine),492,1.18.1.6
P80064,HPPD_PSEUJ,reviewed,4-hydroxyphenylpyruvate dioxygenase (4HPPD) (HPD) (HPPDase) (EC 1.13.11.27),hpd,Pseudomonas sp. (strain P.J. 874),357,1.13.11.27
P0A9P4,TRXB_ECOLI,reviewed,Thioredoxin reductase (TRXR) (EC 1.8.1.9),trxB b0888 JW0871,Escherichia coli (strain K12),321,1.8.1.9
P23295,NOR_FUSOX,reviewed,NADP nitrous oxide-forming nitric oxide reductase (NOR) (EC 1.7.1.14) (CYPLVA1) (Cytochrome P450 55A1) (Cytochrome P450 DNIR) (Cytochrome P450nor) (Fungal nitric oxide reductase),CYP55A1 CYP55,Fusarium oxysporum (Fusarium vascular wilt),403,1.7.1.14
P63167,DYL1_HUMAN,reviewed,"Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)",DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1,Homo sapiens (Human),89,
P17571,NIA1_MAIZE,reviewed,Nitrate reductase [NADH] (NR) (EC 1.7.1.1) (Fragment),,Zea mays (Maize),621,1.7.1.1
P22637,CHOD_BREST,reviewed,Cholesterol oxidase (CHOD) (EC 1.1.3.6) (Cholesterol isomerase) (EC 5.3.3.1),choB,Brevibacterium sterolicum,552,1.1.3.6; 5.3.3.1
P00456,NIFH1_CLOPA,reviewed,Nitrogenase iron protein 1 (EC 1.18.6.1) (Nitrogenase Fe protein 1) (Nitrogenase component II) (Nitrogenase reductase),nifH1,Clostridium pasteurianum,273,1.18.6.1
P05979,PGH1_SHEEP,reviewed,Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1),PTGS1 COX1,Ovis aries (Sheep),600,1.14.99.1
P56649,G3P_PANVR,reviewed,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12),,Panulirus versicolor (Painted spiny lobster) (Palinurus versicolor),333,1.2.1.12
Q05769,PGH2_MOUSE,reviewed,Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (Glucocorticoid-regulated inflammatory cyclooxygenase) (Gripghs) (Macrophage activation-associated marker protein P71/73) (PES-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2) (TIS10 protein),Ptgs2 Cox-2 Cox2 Pghs-b Tis10,Mus musculus (Mouse),604,1.14.99.1
P05091,ALDH2_HUMAN,reviewed,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)",ALDH2 ALDM,Homo sapiens (Human),517,1.2.1.3
P80030,FABI_BRANA,reviewed,"Enoyl-[acyl-carrier-protein] reductase [NADH], chloroplastic (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)",,Brassica napus (Rape),385,1.3.1.9
P05164,PERM_HUMAN,reviewed,Myeloperoxidase (MPO) (EC 1.11.2.2) [Cleaved into: Myeloperoxidase; 89 kDa myeloperoxidase; 84 kDa myeloperoxidase; Myeloperoxidase light chain; Myeloperoxidase heavy chain],MPO,Homo sapiens (Human),745,1.11.2.2
P08074,CBR2_MOUSE,reviewed,Carbonyl reductase [NADPH] 2 (EC 1.1.1.184) (Adipocyte protein P27) (AP27) (Lung carbonyl reductase) (LCR) (NADPH-dependent carbonyl reductase 2),Cbr2,Mus musculus (Mouse),244,1.1.1.184
P0ABJ1,CYOA_ECOLI,reviewed,Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome b562-o complex subunit II) (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2),cyoA b0432 JW0422,Escherichia coli (strain K12),315,
Q60034,DYR_THEMA,reviewed,Dihydrofolate reductase (DHFR) (EC 1.5.1.3),folA dyrA TM_1641,Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099),169,1.5.1.3
P29473,NOS3_BOVIN,reviewed,"Nitric oxide synthase, endothelial (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (Endothelial NOS) (eNOS) (NOS type III) (NOSIII)",NOS3,Bos taurus (Bovine),1205,1.14.13.39
Q94734,NP4_RHOPR,reviewed,Nitrophorin-4 (NP4) (EC 1.7.6.1) (Nitrite dismutase),,Rhodnius prolixus (Triatomid bug),205,1.7.6.1
Q07841,MDH_HALMA,reviewed,Malate dehydrogenase (EC 1.1.1.37),mdh rrnAC2706,Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809) (Halobacterium marismortui),304,1.1.1.37
Q02127,PYRD_HUMAN,reviewed,"Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)",DHODH,Homo sapiens (Human),395,1.3.5.2
P15559,NQO1_HUMAN,reviewed,NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1),NQO1 DIA4 NMOR1,Homo sapiens (Human),274,1.6.5.2
P83223,FRDA_SHEON,reviewed,Fumarate reductase flavoprotein subunit (EC 1.3.5.4) (Flavocytochrome c) (FL cyt),SO_0970,Shewanella oneidensis (strain MR-1),596,1.3.5.4
P11024,NNTM_BOVIN,reviewed,"NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)",NNT,Bos taurus (Bovine),1086,7.1.1.1
P00448,SODM_ECOLI,reviewed,Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD),sodA b3908 JW3879,Escherichia coli (strain K12),206,1.15.1.1
P20586,PHHY_PSEAE,reviewed,p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase),pobA PA0247,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),394,1.14.13.2
P04964,DAPDH_CORGL,reviewed,Meso-diaminopimelate D-dehydrogenase (DAPDH) (Meso-DAP dehydrogenase) (EC 1.4.1.16),ddh Cgl2617 cg2900,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),320,1.4.1.16
P00362,G3P_GEOSE,reviewed,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase),gap,Geobacillus stearothermophilus (Bacillus stearothermophilus),335,1.2.1.12
P0A9B2,G3P1_ECOLI,reviewed,Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase),gapA b1779 JW1768,Escherichia coli (strain K12),331,1.2.1.12
P18548,CEFE_STRCL,reviewed,Deacetoxycephalosporin C synthase (DAOCS) (EC 1.14.20.1) (Expandase),cefE,Streptomyces clavuligerus,311,1.14.20.1
P29477,NOS2_MOUSE,reviewed,"Nitric oxide synthase, inducible (EC 1.14.13.39) (Inducible NO synthase) (Inducible NOS) (iNOS) (Macrophage NOS) (MAC-NOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)",Nos2 Inosl,Mus musculus (Mouse),1144,1.14.13.39
P38038,CYSJ_ECOLI,reviewed,Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2),cysJ b2764 JW2734,Escherichia coli (strain K12),599,1.8.1.2
P0ABQ4,DYR_ECOLI,reviewed,Dihydrofolate reductase (EC 1.5.1.3),folA tmrA b0048 JW0047,Escherichia coli (strain K12),159,1.5.1.3
P00459,NIFH1_AZOVI,reviewed,Nitrogenase iron protein 1 (EC 1.18.6.1) (Nitrogenase Fe protein 1) (Nitrogenase component II) (Nitrogenase reductase),nifH1,Azotobacter vinelandii,290,1.18.6.1
P00325,ADH1B_HUMAN,reviewed,All-trans-retinol dehydrogenase [NAD(+)] ADH1B (EC 1.1.1.105) (Alcohol dehydrogenase 1B) (Alcohol dehydrogenase subunit beta),ADH1B ADH2,Homo sapiens (Human),375,1.1.1.105
P9WNX1,DYR_MYCTU,reviewed,Dihydrofolate reductase (EC 1.5.1.3),folA dfrA Rv2763c MTV002.28c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),161,1.5.1.3
P04040,CATA_HUMAN,reviewed,Catalase (EC 1.11.1.6),CAT,Homo sapiens (Human),527,1.11.1.6
Q9REC4,Q9REC4_DESDE,unreviewed,Aldehyde oxidoreductase,MOD,Desulfovibrio desulfuricans,907,
P11348,DHPR_RAT,reviewed,Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase),Qdpr Dhpr,Rattus norvegicus (Rat),241,1.5.1.34
P17297,BPHC_PSES1,reviewed,"Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39) (2,3-dihydroxybiphenyl dioxygenase) (DHBD) (23OHBP oxygenase)",bphC,Pseudomonas sp. (strain KKS102),293,1.13.11.39
P09787,CY4C_PSEPU,reviewed,4-cresol dehydrogenase [hydroxylating] cytochrome c subunit (Flavocytochrome c) (P-cresol methylhydroxylase cytochrome subunit),pchC,Pseudomonas putida (Arthrobacter siderocapsulatus),113,
P09788,DH4C_PSEPU,reviewed,4-cresol dehydrogenase [hydroxylating] flavoprotein subunit (EC 1.17.9.1) (P-cresol methylhydroxylase) (PCMH),pchF,Pseudomonas putida (Arthrobacter siderocapsulatus),521,1.17.9.1
Q55389,FTRC_SYNY3,reviewed,"Ferredoxin-thioredoxin reductase, catalytic chain (FTR-C) (EC 1.8.7.2) (Ferredoxin-thioredoxin reductase subunit B) (FTR-B)",ftrC sll0554,Synechocystis sp. (strain PCC 6803 / Kazusa),118,1.8.7.2
Q55781,FTRV_SYNY3,reviewed,"Ferredoxin-thioredoxin reductase, variable chain (FTR-V) (Ferredoxin-thioredoxin reductase subunit A) (FTR-A)",ftrV ssr0330,Synechocystis sp. (strain PCC 6803 / Kazusa),75,
Q13423,NNTM_HUMAN,reviewed,"NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)",NNT,Homo sapiens (Human),1086,7.1.1.1
P16099,DHTM_METME,reviewed,Trimethylamine dehydrogenase (TMADh) (EC 1.5.8.2),tmd,Methylophilus methylotrophus (Bacterium W3A1),730,1.5.8.2
P0C0F4,UDG_STRPY,reviewed,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),hasB,Streptococcus pyogenes,402,1.1.1.22
P07773,CATA_ACIAD,reviewed,"Catechol 1,2-dioxygenase (EC 1.13.11.1) (1,2-CTD)",catA ACIAD1442,Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),311,1.13.11.1
Q52675,DSTOR_RHOCA,reviewed,Dimethyl sulfoxide/trimethylamine N-oxide reductase (DMSO reductase) (DMSOR) (Me2SO reductase) (TMAOR) (EC 1.7.2.3) (EC 1.8.5.3),dorA,Rhodobacter capsulatus (Rhodopseudomonas capsulata),823,1.7.2.3; 1.8.5.3
P00439,PH4H_HUMAN,reviewed,Phenylalanine-4-hydroxylase (PAH) (EC 1.14.16.1) (Phe-4-monooxygenase),PAH,Homo sapiens (Human),452,1.14.16.1
P82385,SOR_PYRFU,reviewed,Superoxide reductase (SOR) (EC 1.15.1.2),sorA PF1281,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),124,1.15.1.2
Q12634,T4HR_MAGO7,reviewed,Tetrahydroxynaphthalene reductase (EC 1.1.1.252) (T4HN reductase) (THNR),MGG_02252,Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae),283,1.1.1.252
A2RJT9,PYRDA_LACLM,reviewed,Dihydroorotate dehydrogenase A (fumarate) (DHOD A) (DHODase A) (DHOdehase A) (EC 1.3.98.1),pyrDA llmg_0952,Lactococcus lactis subsp. cremoris (strain MG1363),311,1.3.98.1
P11411,G6PD_LEUME,reviewed,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.363) (Glucose-6-phosphate dehydrogenase (NAD(P)(+))),zwf,Leuconostoc mesenteroides,486,1.1.1.363
P0ABT2,DPS_ECOLI,reviewed,DNA protection during starvation protein (EC 1.16.-.-),dps pexB vtm b0812 JW0797,Escherichia coli (strain K12),167,1.16.-.-
Q5SIY4,LEU3_THET8,reviewed,3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH),leuB TTHA1230,Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579),345,1.1.1.85
E7FHX6,NDRZ_PYRFU,reviewed,Vitamin B12-dependent ribonucleoside-diphosphate reductase (B12-dependent RNR) (EC 1.17.4.1) (Ribonucleotide reductase) [Cleaved into: Endonuclease PI-PfuI (EC 3.1.-.-) (Pfu rnr-1 intein); Pfu rnr-2 intein (EC 3.1.-.-)],rnr PF0440,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),1740,1.17.4.1; 3.1.-.-; 3.1.-.-
